inf_prob,diag_prob,i0,vaccine_efficacy1,vaccine_efficacy2,infection_efficacy,first_outbreak_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,2.0,7.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,12.0,9.0,6.0,9.0,10.0,3.0,3.0,7.0,6.0,5.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,7.0,10.0,5.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,7.0,12.0,6.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,11.0,6.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,7.0,10.0,10.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,3.0,3.0,2.0,6.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.97,7321.0,15.0,9.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,5.0,12.0,4.0,5.0,2.0,0.0,3.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,10.0,9.0,7.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,12.0,9.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,9.0,13.0,5.0,4.0,10.0,4.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,5.0,2.0,7.0,4.0,1.0,0.0,5.0,4.0,5.0,6.0,5.0,8.0,7.0,5.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,8.0,2.0,5.0,19.0,11.0,5.0,7.0,8.0,6.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.85,7321.0,15.0,7.0,4.0,2.0,2.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,6.0,9.0,1.0,3.0,1.0,3.0,3.0,6.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,7.0,18.0,16.0,25.0,20.0,17.0,13.0,17.0,20.0,9.0,17.0,14.0,19.0,11.0,7.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,7.0,7.0,2.0,4.0,4.0,6.0,5.0,12.0,12.0,22.0,19.0,17.0,16.0,18.0,12.0,13.0,16.0,7.0,13.0,14.0,18.0,16.0,7.0,12.0,9.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,9.0,16.0,8.0,9.0,7.0,6.0,6.0,3.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,6.0,6.0,12.0,12.0,10.0,11.0,7.0,7.0,6.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,9.0,10.0,11.0,12.0,13.0,16.0,16.0,10.0,13.0,8.0,10.0,7.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,5.0,2.0,4.0,3.0,7.0,9.0,11.0,6.0,4.0,5.0,6.0,7.0,5.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6853295479080522,0.250223227866517,15.0,0.0,0.0,0.76,7321.0,15.0,17.0,15.0,13.0,16.0,12.0,17.0,10.0,10.0,7.0,6.0,3.0,4.0,11.0,10.0,5.0,9.0,11.0,5.0,0.0,3.0,4.0,1.0,1.0,4.0,0.0
